date,description,target,signed_impact_pct,window_days
2025-01-27,DeepSeek-R1 release — AI-infra capex doubts,SMH,-6.0,5
2025-01-27,DeepSeek-R1 release — NVDA sharp drop,NVDA,-12.0,3
2025-03-28,CoreWeave IPO — AI-infra sentiment positive,SMH,2.5,5
2025-04-02,Tariff tantrum — Liberation Day tariffs,SMH,-9.0,6
2025-04-02,Tariff tantrum — NVDA drag,NVDA,-11.0,6
2025-05-12,US-China tariff pause — rally,SMH,5.0,7
2025-07-15,Mid-2025 Jevons / capex sustainability debate,SMH,-3.0,10
2025-11-03,Q3 earnings — hyperscaler capex reaffirmed,SMH,3.0,5
2026-09-08,H2 2026 AI capex sustainability selloff,SMH,-10.0,15
2026-09-08,H2 2026 AI capex selloff — NVDA drag,NVDA,-13.0,15
2027-02-10,NVIDIA Blackwell Ultra supply update,SMH,8.0,10
2027-02-10,Blackwell Ultra — NVDA rally,NVDA,10.0,10
2027-08-16,Taiwan Strait coast-guard incident — geopolitics,SMH,-6.0,10
2027-08-16,Taiwan Strait — NVDA drag on fab risk,NVDA,-9.0,10
2028-05-21,US BIS AI chip export tightening,SMH,-7.0,10
2028-05-21,BIS export tightening — NVDA drag,NVDA,-10.0,10
2028-11-13,Q4 2028 recovery rally — sentiment normalizes,SMH,9.0,15
2029-08-27,Data-center power shortage — neocloud drag,SMH,-3.0,8
2029-08-27,Data-center power shortage — EBLA drag,EBLA,-4.0,8
2030-03-18,Echoblast IPO — mild pop for EBLA,EBLA,6.0,3
2030-09-16,Hyperscaler capex peak? — article cycle,SMH,-8.0,12
2030-09-16,Hyperscaler capex peak — EBLA drag,EBLA,-10.0,12
2031-05-19,Iran-Israel flare-up — risk-off,SMH,-4.0,10
2031-11-10,Recovery + new AI model wave,SMH,7.0,12
2031-11-10,New AI model wave — EBLA beat,EBLA,9.0,12
2032-02-09,AI adoption broadens beyond chatbots — sustained rally,SMH,10.0,30
2032-08-23,China trade-deal optimism,SMH,5.0,10
2033-04-24,Macro recession signals — broad drawdown,SMH,-12.0,20
2033-04-24,Macro recession — NVDA drag,NVDA,-14.0,20
2033-04-24,Macro recession — EBLA drag,EBLA,-16.0,20
2033-10-28,Partial recovery by year-end,SMH,6.0,15
2033-10-28,Partial recovery — EBLA beat,EBLA,8.0,15
